poi_id,category,name,long,lat
16954,Pet_store,Mueeza Cat,103.5669310000,1.6571235000
689,Petrol_station,Petronas,101.8385090000,2.4998710000
15897,Cafe,Kafe Bamboo Grove,100.5333790000,5.3698970000
5726,Convenience_store,Kedai Runcit Seng Ann,103.1036070000,1.8604890000
16535,Stadium,Kompleks Sukan Dewan Bandaraya Ipoh,101.1036310000,4.6093620000
7941,Pharmacy,Guardian,101.6162800000,3.2110300000
14169,Hotel,Jerantut Hill Resort,102.3526410000,3.9216140000
8205,Electronics_store,Senheng Electric (KL) Sdn. Bhd.,100.5029060000,5.6636900000
14090,Hotel,The Majestic Hotel Kuala Lumpur,101.6921940000,3.1391990000
9474,Bank,Public Bank,116.0815900000,5.9446400000
633,Petrol_station,PETRONAS - Jalan Sultanah Sambongan (Shahab Enterprise),100.3823110000,6.1429640000
12528,Restaurant,Island Plaza,100.3058690000,5.4504620000
5423,Convenience_store,"7-eleven @ Jalan Gottlieb, George Town",100.3024430000,5.4326600000
4139,Petrol_station,Petron Parit Jawa,102.6411210000,1.9561870000
11691,Restaurant,KFC @ Jalan Bandar Rawang 2,101.5768700000,3.3235980000
13189,Hotel,Medan Hotel,111.8490760000,2.3046190000
4560,Petrol_station,Caltex Lagenda Heights,100.5034780000,5.6641520000
8716,Bank,Maybank,103.1388820000,5.3291740000
15632,Cafe,The Coffee Bean Tea Leaf @ Wisma Merdeka,116.0758470000,5.9856370000
14932,Hotel,Sanbay Hotel,118.1013090000,5.8372470000
2773,Petrol_station,Shell,101.4975570000,3.0772570000
566,Petrol_station,Petron Tambun,101.1602150000,4.6562230000
10879,Restaurant,Old Town White Coffee,101.1196200000,4.6176220000
12729,Hotel,One World Hotel,101.6171510000,3.1475970000
7994,Pharmacy,Guardian @ Kompleks Karamunsing,116.0720510000,5.9668920000
2499,Celcom,Celcom,103.7553260000,1.4743280000
1476,Petrol_station,Petronas Bandar Jerteh,102.5002290000,5.7380750000
12751,Hotel,Hotel Fortuna,101.7104340000,3.1470350000
5528,Convenience_store,"7-eleven @ Bandar Baru Medan, Ipoh",101.1203390000,4.6148070000
13677,Hotel,Taman Juta keningau,116.1566800000,5.3374040000
9366,Bank,Public Bank,101.9381020000,2.7249540000
12563,Restaurant,Hoong Foong Dim Sum,101.5820250000,3.0270510000
4684,Petrol_station,Bandar Baru Tanah Merah (Caltex),100.4824840000,6.0289550000
53,Golf,Persatuan Golf Negeri Pulau Pinang,100.2839220000,5.3371510000
9688,Bank,Bank Rakyat @ Sri Iskandar,100.9674450000,4.3608750000
16886,Pet_store,North South East West Aquarium Sdn. Bhd.,102.2755374000,2.2227788000
6955,Convenience_store,Econsave Cash & Carry (Kajang) Sdn. Bhd.,101.7790680000,3.0114250000
15915,Cafe,Oldtown White Coffee,100.2858010000,5.3266640000
10722,Restaurant,Hard Rock Cafe Penang,100.2415780000,5.4676650000
14281,Hotel,Kinabalu Hotel,116.8492150000,6.8794330000
12897,Hotel,MyPlace Hotel Kota Bharu,102.2480390000,6.1311460000
7758,Pharmacy,Guardian,100.3935050000,6.1424120000
3607,Petrol_station,Shell Jalan Changkat Jong Teluk Intan 2,101.0285980000,4.0164720000
9305,Bank,Public Bank @ Medan Sentral Branch,113.0582380000,3.1988560000
6874,Convenience_store,Happy Mart Sdn Bhd,118.0674150000,5.8429610000
11560,Restaurant,KFC @ Bahau,102.3875980000,2.8045830000
10729,Restaurant,Kampachi,100.2846300000,5.3371980000
12251,Restaurant,Bar.B.Q Plaza,101.6073990000,3.0726100000
427,Petrol_station,PETRONAS - Rantau Panjang - New,101.9825150000,6.0167930000
16018,Cafe,Kedai Kopi Ban Mee,101.0488570000,4.5978980000
11334,Restaurant,Restaurant Tong Juan,103.4280420000,4.2314850000
6624,Convenience_store,KK Super Mart,101.4628910000,3.0600570000
7434,Convenience_store,Giant Automation,103.6546110000,1.5462560000
6836,Convenience_store,PASARAYA BORONG SAKAN LANGKAWI 1,99.8434250000,6.3266380000
10230,Bank,Atm - Bsn Kuala Rompin,103.4852250000,2.7978710000
8819,Bank,Bank Simpanan Nasional @ Pengkalan Chepa,102.2777280000,6.1618200000
10301,Bank,Atm - Maybank Petronas Jalan Datin Halimah,103.7361470000,1.4995740000
5867,Convenience_store,7-Eleven,101.8171860000,2.8219360000
5069,Petrol_station,Bhpetrol,103.7331210000,1.5110810000
12990,Hotel,Pacific Orient Hotel,113.9904310000,4.3963920000
15335,Cafe,Economy Cafe (1990),111.5210920000,2.1300660000
12364,Restaurant,Lucky Palace Restaurant,101.9105950000,2.7004990000
7694,Pharmacy,Guardian Tanjung Bungah,100.2914010000,5.4645780000
5325,Convenience_store,Kedai Perniagaan Ubat Dan Pasar Mini Kim Cheong,103.1329970000,5.3225430000
11401,Restaurant,KFC @ Jalan Bandaran Berjaya,116.0675510000,5.9738090000
12616,Restaurant,Noodle Experts,110.3621180000,1.5386740000
10154,Bank,Bank Simpanan Nasional @ Paka Islamic Banking,103.3882140000,4.7014130000
8427,Mall,AEON BIG,101.6439410000,3.2141820000
965,Petrol_station,Petronas Ceneh Baru,103.2365340000,4.1217850000
9758,Bank,Maybank Taman Sri Gombak,101.7047180000,3.2419880000
12768,Hotel,L A Hotel's district,117.8934060000,4.2465020000
12584,Restaurant,bing! coffee,110.3486520000,1.5083770000
2958,Petrol_station,Shell - SSS ENERGY RESOURCES,100.2966440000,5.3343100000
9326,Bank,Public Bank,101.2495920000,3.3415800000
269,Putra LRT,Stesen Putra Lrt Abdullah Hukum (kj21),101.6731480000,3.1190260000
5266,Convenience_store,7-Eleven Malaysia: Store 0079 - Lorong Jelutong,101.4413200000,3.0292800000
9454,Bank,Standard Charted Bank,116.0776960000,5.9863570000
13270,Hotel,Angsana Hotel Melaka,102.2673600000,2.1877850000
10595,Restaurant,Restoran Asnur,117.8891320000,4.2453090000
12392,Restaurant,Tino's Pizza,101.8382210000,2.5001380000
7509,Pharmacy,Watson @ Medan Putra,100.3536290000,6.1268030000
13925,Hotel,Sun Inns Hotel Kuala Selangor,101.2673530000,3.3214720000
